ï»¿shop_id;status;active_types;school_list_status;school_service_type;school_service_value;school_withdrawal_period;trodat_shop_type;trodat_affiliated_shop;trodat_email
BV206;true;A4, plans, posters, fluorescentPosters, photos, tarps, expeditionLabels, flyers, businessCard, booklets;true;FREE;6.99;3.0;Trodesign;;bvlesherbiers@trodesign.fr
BV218;true;A4, plans, posters, photos;true;FREE;6.99;2.0;Externe;;
BV309;true;A4, plans, posters, photos, tarps, expeditionLabels, flyers, businessCard, booklets;true;FREE;6.99;4.0;ED;BV455;
BV008;true;A4, plans, posters, photos, tarps, expeditionLabels, flyers, businessCard, booklets;true;FREE;6.99;2.0;Trodesign;;bvcholet@trodesign.fr
BV013;true;A4, plans, posters, photos, tarps, flyers, businessCard, booklets;true;DEPOSIT;6.99;4.0;Externe;;
BV033;true;A4;true;FREE;6.99;5.0;ED;BV004;
BV119;true;A4, plans, posters, fluorescentPosters, photos, tarps, expeditionLabels, flyers, businessCard, booklets;true;FREE;6.99;2.0;Trodesign;;bvamiens@trodesign.fr
BV129;true;A4, plans, posters, photos, tarps, booklets;true;DEPOSIT;6.0;2.0;Trodesign;;bvvillejust@trodesign.fr
BV147;true;A4, expeditionLabels, flyers, businessCard, booklets;true;FREE;6.99;2.0;ED;BV316;
BV192;true;A4, plans, posters, fluorescentPosters, photos, tarps, flyers;true;FREE;6.99;4.0;Trodesign;;bvvillefranche@trodesign.fr
